,Price (USD),Replies,Likes,Retweets,Tweets
2020-05-01,8841.2,8711.0,61435.0,14191.0,14208.0
2020-05-02,8926.532916,12810.0,62059.0,15767.0,12553.0
2020-05-03,8935.6,10491.0,61931.0,15102.0,12097.0
2020-05-04,8890.14885158,9248.0,79092.0,17327.0,13747.0
2020-05-05,8943.49142902,14979.0,83008.0,22115.0,16763.0
2020-05-06,9363.7564345,10702.0,69947.0,17175.0,17993.0
2020-05-07,9859.5,15732.0,100665.0,23503.0,22559.0
2020-05-08,9963.0,13132.0,98271.0,21153.0,20035.0
2020-05-09,9598.7,9094.0,48968.0,12135.0,13927.0
2020-05-10,8767.5,13420.0,85461.0,16040.0,16499.0
2020-05-11,8594.0,31093.0,186178.0,44057.0,26882.0
2020-05-12,8816.7,14329.0,79200.0,29137.0,16676.0
2020-05-13,9285.7,10721.0,60794.0,17096.0,14954.0
2020-05-14,9775.9,10745.0,73456.0,16192.0,15879.0
2020-05-15,9426.0,10451.0,67747.0,15561.0,14237.0
2020-05-16,9398.3,10521.0,58161.0,12959.0,13517.0
2020-05-17,9696.3958591,10040.0,54233.0,12888.0,11923.0
2020-05-18,9732.3,10616.0,67743.0,16077.0,14720.0
2020-05-19,9748.0,7775.0,45493.0,12210.0,13387.0
2020-05-20,9528.9,9322.0,62446.0,13365.0,14264.0
2020-05-21,9139.9,14196.0,56031.0,16342.0,14054.0
2020-05-22,9193.48279642,14988.0,65154.0,19186.0,15189.0
2020-05-23,9225.08018187,6691.0,45430.0,11041.0,10654.0
2020-05-24,9038.39760185,6679.0,39676.0,9836.0,11068.0
2020-05-25,8905.64431086,7175.0,47604.0,12095.0,13415.0
2020-05-26,8835.4,7170.0,40599.0,12446.0,13419.0
2020-05-27,9100.1,8251.0,57673.0,16976.0,15464.0
2020-05-28,9515.1,9290.0,57233.0,13093.0,15486.0
2020-05-29,9429.5,8818.0,46347.0,12728.0,12844.0
2020-05-30,9685.9992,5507.0,41381.0,9535.0,11022.0
2020-05-31,9441.0,6421.0,43935.0,11108.0,10136.0
2020-06-01,9714.33339048,7576.0,62487.0,15214.0,13568.0
2020-06-02,9535.50205553,10793.0,93309.0,26677.0,16616.0
2020-06-03,9598.36050115,6593.0,46105.0,13622.0,12656.0
2020-06-04,9819.4,6274.0,48403.0,12282.0,12841.0
2020-06-05,9668.4,6450.0,46584.0,13254.0,12639.0
2020-06-06,9637.3,6036.0,33473.0,8655.0,10304.0
2020-06-07,9769.4,6380.0,38647.0,10513.0,10789.0
2020-06-08,9704.0,6924.0,44201.0,12058.0,12536.0
2020-06-09,9775.5,10158.0,62650.0,17438.0,13690.0
2020-06-10,9901.9,8187.0,57473.0,14688.0,14451.0
2020-06-11,9325.9,12989.0,62451.0,18697.0,14982.0
2020-06-12,9467.3,7869.0,39912.0,11832.0,12647.0
2020-06-13,9436.2,6606.0,39656.0,9385.0,10145.0
2020-06-14,9388.77835569,4802.0,34630.0,10135.0,10711.0
2020-06-15,9425.2,7665.0,47293.0,13092.0,12724.0
2020-06-16,9520.7,6753.0,53854.0,12549.0,12324.0
2020-06-17,9449.9,6538.0,39435.0,9962.0,11862.0
2020-06-18,9380.0,5477.0,40143.0,10348.0,12071.0
2020-06-19,9339.4,12840.0,40571.0,12309.0,11757.0
2020-06-20,9384.38514499,8120.0,42999.0,10548.0,10276.0
2020-06-21,9306.8,7535.0,33930.0,10067.0,9452.0
2020-06-22,9667.5,11129.0,61097.0,21695.0,12859.0
2020-06-23,9624.5,9743.0,66600.0,16332.0,13306.0
2020-06-24,9285.7,9324.0,67063.0,15213.0,12709.0
2020-06-25,9262.3,8962.0,44403.0,11968.0,12609.0
2020-06-26,9193.2,7995.0,45185.0,13140.0,11190.0
