,Price (USD),Replies,Likes,Retweets,Tweets
2020-05-01,47.062,109.0,906.0,234.0,518.0
2020-05-02,49.186,125.0,1048.0,366.0,372.0
2020-05-03,48.0,208.0,1323.0,370.0,478.0
2020-05-04,46.988,315.0,1310.0,277.0,628.0
2020-05-05,46.492,123.0,931.0,292.0,602.0
2020-05-06,46.622,112.0,916.0,311.0,601.0
2020-05-07,47.507,131.0,925.0,250.0,647.0
2020-05-08,48.298,146.0,2280.0,476.0,640.0
2020-05-09,46.982,110.0,1401.0,259.0,532.0
2020-05-10,42.008,84.0,654.0,183.0,553.0
2020-05-11,41.298,71.0,589.0,176.0,689.0
2020-05-12,42.121,49.0,629.0,158.0,685.0
2020-05-13,43.158,94.0,988.0,299.0,524.0
2020-05-14,44.208,178.0,1121.0,488.0,508.0
2020-05-15,42.899,147.0,756.0,542.0,510.0
2020-05-16,43.456,306.0,776.0,277.0,462.0
2020-05-17,43.765,124.0,698.0,169.0,448.0
2020-05-18,45.298,204.0,958.0,248.0,501.0
2020-05-19,45.473,226.0,1859.0,603.0,527.0
2020-05-20,44.062,241.0,1463.0,471.0,575.0
2020-05-21,43.0,142.0,983.0,318.0,484.0
2020-05-22,44.393,88.0,731.0,168.0,640.0
2020-05-23,44.115,78.0,673.0,137.0,474.0
2020-05-24,43.021,263.0,802.0,325.0,472.0
2020-05-25,42.877,134.0,880.0,327.0,513.0
2020-05-26,42.406,122.0,814.0,251.0,513.0
2020-05-27,43.509,151.0,1053.0,446.0,595.0
2020-05-28,44.331,370.0,1125.0,207.0,560.0
2020-05-29,44.476,258.0,1113.0,213.0,536.0
2020-05-30,47.593,121.0,772.0,167.0,475.0
2020-05-31,45.848,118.0,618.0,280.0,436.0
2020-06-01,47.31,203.0,1218.0,875.0,500.0
2020-06-02,46.148,324.0,1215.0,467.0,574.0
2020-06-03,47.011,89.0,688.0,181.0,526.0
2020-06-04,47.51,95.0,1424.0,289.0,576.0
2020-06-05,46.987,94.0,597.0,193.0,501.0
2020-06-06,46.696,294.0,662.0,411.0,437.0
2020-06-07,46.697,50.0,321.0,118.0,437.0
2020-06-08,46.048,85.0,581.0,170.0,520.0
2020-06-09,45.913,100.0,582.0,165.0,525.0
2020-06-10,46.69,94.0,754.0,315.0,452.0
2020-06-11,43.52,80.0,823.0,379.0,507.0
2020-06-12,44.686,99.0,806.0,577.0,398.0
2020-06-13,44.894,61.0,485.0,123.0,388.0
2020-06-14,44.156,190.0,879.0,432.0,403.0
2020-06-15,43.736,162.0,1037.0,399.0,497.0
2020-06-16,43.852,174.0,1254.0,573.0,438.0
2020-06-17,44.008,84.0,880.0,233.0,429.0
2020-06-18,43.454,490.0,1004.0,580.0,413.0
2020-06-19,43.193,93.0,833.0,279.0,431.0
2020-06-20,43.806,83.0,759.0,346.0,447.0
2020-06-21,42.959,42.0,370.0,118.0,372.0
2020-06-22,44.385,82.0,743.0,282.0,476.0
2020-06-23,44.127,122.0,749.0,324.0,467.0
2020-06-24,42.695,145.0,900.0,322.0,461.0
2020-06-25,42.312,91.0,855.0,289.0,465.0
2020-06-26,43.144,56.0,687.0,200.0,449.0
2020-06-27,41.231,394.0,859.0,306.0,437.0
2020-06-28,41.358,40.0,409.0,105.0,386.0
2020-06-29,42.04,107.0,1053.0,272.0,411.0
2020-06-30,41.209,249.0,1420.0,694.0,412.0
2020-07-01,41.808,79.0,932.0,257.0,443.0
2020-07-02,40.965,166.0,663.0,256.0,410.0
2020-07-03,41.238,104.0,650.0,121.0,467.0
2020-07-04,42.023,253.0,637.0,205.0,441.0
2020-07-05,41.676,69.0,491.0,147.0,414.0
2020-07-06,43.801,242.0,1514.0,744.0,519.0
2020-07-07,43.333,104.0,797.0,155.0,515.0
2020-07-08,45.509,222.0,1372.0,578.0,574.0
2020-07-09,44.415,124.0,1183.0,313.0,525.0
2020-07-10,44.255,103.0,1244.0,271.0,513.0
2020-07-11,44.411,282.0,1084.0,241.0,440.0
2020-07-12,44.68,67.0,867.0,150.0,401.0
2020-07-13,44.071,101.0,1224.0,256.0,458.0
2020-07-14,43.753,46.0,546.0,178.0,461.0
2020-07-15,43.407,273.0,882.0,384.0,498.0
2020-07-16,42.088,74.0,958.0,264.0,464.0
2020-07-17,41.956,95.0,794.0,145.0,448.0
2020-07-18,42.54,132.0,1124.0,292.0,384.0
2020-07-19,42.689,51.0,545.0,82.0,379.0
2020-07-20,41.976,275.0,1350.0,307.0,427.0
2020-07-21,43.619,160.0,1448.0,380.0,513.0
2020-07-22,44.84,87.0,968.0,184.0,500.0
2020-07-23,45.1,164.0,1533.0,424.0,499.0
2020-07-24,44.403,98.0,874.0,375.0,430.0
2020-07-25,49.252,506.0,2383.0,434.0,524.0
2020-07-26,48.342,195.0,851.0,221.0,411.0
2020-07-27,55.16,526.0,3487.0,1858.0,607.0
2020-07-28,55.679,170.0,2092.0,413.0,662.0
2020-07-29,55.961,214.0,1825.0,426.0,491.0
2020-07-30,57.665,368.0,2081.0,574.0,540.0
2020-07-31,58.051,213.0,1767.0,1523.0,503.0
2020-08-01,61.515,397.0,2235.0,522.0,555.0
2020-08-02,56.934,171.0,1843.0,389.0,547.0
2020-08-03,58.17,226.0,2123.0,420.0,519.0
2020-08-04,57.722,139.0,1227.0,350.0,506.0
2020-08-05,58.469,123.0,1628.0,258.0,518.0
2020-08-06,59.103,320.0,1545.0,488.0,504.0
2020-08-07,57.421,281.0,1699.0,418.0,518.0
2020-08-08,57.838,1144.0,1827.0,803.0,439.0
2020-08-09,56.722,114.0,569.0,1044.0,375.0
2020-08-10,58.2,136.0,1346.0,322.0,483.0
2020-08-11,53.857,191.0,1893.0,479.0,496.0
2020-08-12,,114.0,1238.0,289.0,483.0
2020-08-13,57.143,131.0,1017.0,526.0,523.0
2020-08-14,56.91,226.0,2782.0,617.0,548.0
2020-08-15,60.261,410.0,3203.0,1000.0,568.0
2020-08-16,62.23,352.0,2463.0,529.0,531.0
2020-08-17,68.024,447.0,5248.0,803.0,808.0
2020-08-18,66.457,457.0,2633.0,512.0,711.0
2020-08-19,61.809,120.0,1162.0,203.0,650.0
2020-08-20,62.412,248.0,1215.0,372.0,641.0
2020-08-21,59.643,113.0,873.0,223.0,634.0
2020-08-22,60.299,139.0,720.0,300.0,560.0
2020-08-23,60.572,130.0,1076.0,244.0,433.0
2020-08-24,62.21,110.0,1109.0,240.0,560.0
2020-08-25,58.498,85.0,952.0,270.0,553.0
2020-08-26,58.213,95.0,773.0,254.0,449.0
2020-08-27,55.567,64.0,515.0,132.0,489.0
2020-08-28,56.69,54.0,793.0,158.0,471.0
2020-08-29,57.34,90.0,859.0,178.0,430.0
2020-08-30,62.021,132.0,1461.0,182.0,462.0
2020-08-31,61.2,164.0,1247.0,333.0,509.0
2020-09-01,63.347,180.0,1994.0,407.0,539.0
2020-09-02,58.417,485.0,2199.0,528.0,512.0
2020-09-03,52.679,332.0,1646.0,624.0,553.0
2020-09-04,51.106,296.0,1536.0,507.0,565.0
