Date,Price (USD)
2020-01-01,7213.1
2020-01-02,6989.5
2020-01-03,7356.9
2020-01-04,7373.0
2020-01-05,7344.9
2020-01-06,7768.7
2020-01-07,8173.6
2020-01-08,8052.93510231
2020-01-09,7819.1
2020-01-10,8118.0
2020-01-11,8011.1
2020-01-12,8163.3
2020-01-13,8117.3
2020-01-14,8783.1
2020-01-15,8792.5
2020-01-16,8719.29661989
2020-01-17,8883.8
2020-01-18,8913.2
2020-01-19,8716.8
2020-01-20,8645.9
2020-01-21,8739.98859801
2020-01-22,8644.0
2020-01-23,8371.4
2020-01-24,8442.71967559
2020-01-25,8370.20246779
2020-01-26,8609.92237508
2020-01-27,8908.8
2020-01-28,9357.8
2020-01-29,9335.0
2020-01-30,9492.8
2020-01-31,9371.2
2020-02-01,9408.5
2020-02-02,9366.3
2020-02-03,9318.4
2020-02-04,9202.6
2020-02-05,9624.66257768
2020-02-06,9728.18361011
2020-02-07,9781.326356
2020-02-08,9878.0
2020-02-09,10132.0
2020-02-10,9880.9
2020-02-11,10251.0
2020-02-12,10329.0
2020-02-13,10204.0
2020-02-14,10320.0
2020-02-15,9890.0
2020-02-16,9990.0
2020-02-17,9685.0
2020-02-18,10187.47945432
2020-02-19,9613.7
2020-02-20,9608.36162622
2020-02-21,9700.0
2020-02-22,9660.7
2020-02-23,9982.8
2020-02-24,9673.8
2020-02-25,9351.0
2020-02-26,8815.5
2020-02-27,8779.52733636
2020-02-28,8763.2
2020-02-29,8581.42934763
2020-03-01,8558.5
2020-03-02,8926.0
2020-03-03,8813.08377098
2020-03-04,8786.0
2020-03-05,9075.0
2020-03-06,9174.5
2020-03-07,8919.0
2020-03-08,8060.6
2020-03-09,7902.7
2020-03-10,7982.3
2020-03-11,7986.4276898
2020-03-12,5768.6
2020-03-13,5595.6
2020-03-14,5284.93392621
2020-03-15,5371.3
2020-03-16,4938.4
2020-03-17,5467.6
2020-03-18,5340.0
2020-03-19,6349.7
2020-03-20,6143.2
2020-03-21,6216.0
2020-03-22,5889.8
2020-03-23,6427.01406111
2020-03-24,6775.1
2020-03-25,6672.7
2020-03-26,6710.0
2020-03-27,6673.9
2020-03-28,6207.3
2020-03-29,5923.3
2020-03-30,6516.1
2020-03-31,6449.7
2020-04-01,6567.2
2020-04-02,6871.5
2020-04-03,6749.4
2020-04-04,6880.1
2020-04-05,6797.0
2020-04-06,7283.2
2020-04-07,7191.0
2020-04-08,7354.1
2020-04-09,7312.7
2020-04-10,6836.9
2020-04-11,6858.3
2020-04-12,7015.78640506
2020-04-13,6861.0
2020-04-14,6876.9
2020-04-15,6731.0
2020-04-16,7147.3
2020-04-17,7079.6
2020-04-18,7280.2
2020-04-19,7188.3
2020-04-20,6879.90342
2020-04-21,6900.8
2020-04-22,7116.0
2020-04-23,7567.4
2020-04-24,7492.9
2020-04-25,7530.0428736
2020-04-26,7595.24070379
2020-04-27,7757.4754045
2020-04-28,7744.2
2020-04-29,8777.3
2020-04-30,8707.8
2020-05-01,8841.2
2020-05-02,8926.532916
2020-05-03,8935.6
2020-05-04,8890.14885158
2020-05-05,8943.49142902
2020-05-06,9363.7564345
2020-05-07,9859.5
2020-05-08,9963.0
2020-05-09,9598.7
2020-05-10,8767.5
2020-05-11,8594.0
2020-05-12,8816.7
2020-05-13,9285.7
2020-05-14,9775.9
2020-05-15,9426.0
2020-05-16,9398.3
2020-05-17,9696.3958591
2020-05-18,9732.3
2020-05-19,9748.0
2020-05-20,9528.9
2020-05-21,9139.9
2020-05-22,9193.48279642
2020-05-23,9225.08018187
2020-05-24,9038.39760185
2020-05-25,8905.64431086
2020-05-26,8835.4
2020-05-27,9100.1
2020-05-28,9515.1
2020-05-29,9429.5
2020-05-30,9685.9992
2020-05-31,9441.0
2020-06-01,9714.33339048
2020-06-02,9535.50205553
2020-06-03,9598.36050115
2020-06-04,9819.4
2020-06-05,9668.4
2020-06-06,9637.3
2020-06-07,9769.4
2020-06-08,9704.0
2020-06-09,9775.5
2020-06-10,9901.9
2020-06-11,9325.9
2020-06-12,9467.3
2020-06-13,9436.2
2020-06-14,9388.77835569
2020-06-15,9425.2
2020-06-16,9520.7
2020-06-17,9449.9
2020-06-18,9380.0
2020-06-19,9339.4
2020-06-20,9384.38514499
2020-06-21,9306.8
2020-06-22,9667.5
2020-06-23,9624.5
2020-06-24,9285.7
2020-06-25,9262.3
2020-06-26,9193.2
2020-06-27,9016.0
2020-06-28,9113.4
2020-06-29,9209.6
2020-06-30,9143.9369802
2020-07-01,9235.94104454
2020-07-02,9106.0
2020-07-03,9098.3
2020-07-04,9131.9
2020-07-05,9094.9
2020-07-06,9284.86858184
2020-07-07,9250.9
2020-07-08,9474.9
2020-07-09,9250.23670599
2020-07-10,9253.8
2020-07-11,9231.6
2020-07-12,9293.7
2020-07-13,9254.2
2020-07-14,9269.4
2020-07-15,9221.38500179
2020-07-16,9141.77195932
2020-07-17,9166.3
2020-07-18,9185.9
2020-07-19,9210.1
2020-07-20,9183.3
2020-07-21,9407.0
2020-07-22,9532.2
2020-07-23,9608.4
2020-07-24,9573.2
2020-07-25,9707.1
2020-07-26,9954.2
2020-07-27,11277.0
2020-07-28,10954.0
2020-07-29,11284.0
2020-07-30,11123.84092289
2020-07-31,11309.0
2020-08-01,11757.0
2020-08-02,11113.33845095
2020-08-03,11201.0
2020-08-04,11204.0
2020-08-05,11649.57654183
2020-08-06,11754.88684994
2020-08-07,11609.0
2020-08-08,11723.0
2020-08-09,11657.53605986
2020-08-10,11812.0
2020-08-11,11326.0
2020-08-13,11775.02047389
2020-08-14,11768.34176
2020-08-15,11906.0
2020-08-16,11905.0
2020-08-17,12389.0
2020-08-18,12058.96393587
2020-08-19,11787.91304733
2020-08-20,11833.677744
2020-08-21,11571.0
2020-08-22,11668.0
2020-08-23,11660.47755554
2020-08-24,11759.0
2020-08-25,11381.0
2020-08-26,11454.53216
2020-08-27,11281.0
2020-08-28,11491.92088197
2020-08-29,11522.0
2020-08-30,11672.0
2020-08-31,11699.0
2020-09-01,11979.9737595
2020-09-02,11445.0
2020-09-03,10682.0
2020-09-04,10548.0
2020-09-05,10052.67015712
2020-09-06,10219.0
2020-09-07,10403.05484743
2020-09-08,10081.0
2020-09-09,10296.0
2020-09-10,10350.0
2020-09-11,10392.0
2020-09-12,10452.631728
2020-09-13,10307.03131201
2020-09-14,10673.0
2020-09-15,10827.674234
2020-09-16,11041.0
2020-09-17,10941.0
2020-09-18,10948.88524001
2020-09-19,11071.0
2020-09-20,10889.64975566
2020-09-21,10516.0
2020-09-22,10530.0
2020-09-23,10291.0
2020-09-24,10726.0
2020-09-25,10720.0
2020-09-26,10760.0
2020-09-27,10774.0
2020-09-28,10881.06778692
2020-09-29,10770.872103
2020-09-30,10756.0
2020-10-01,10636.0
2020-10-02,10566.53893952
2020-10-03,10561.0
2020-10-04,10670.0
2020-10-05,10776.0
2020-10-06,10600.02697768
2020-10-07,10664.0
2020-10-08,10914.097084
2020-10-09,11066.0
2020-10-10,11367.445248
2020-10-11,11356.0
2020-10-12,11679.97390125
2020-10-13,11453.0
2020-10-14,11401.0
2020-10-15,11501.0
2020-10-16,11361.0
2020-10-17,11358.0
2020-10-18,11480.0
2020-10-19,11775.0
2020-10-20,11941.06467495
2020-10-21,13136.5889774
2020-10-22,13129.0
2020-10-23,12937.0
2020-10-24,13076.736624
2020-10-25,13020.0
2020-10-26,13036.0
2020-10-27,13724.0
2020-10-28,13259.63697
2020-10-29,13450.0
2020-10-30,13577.0
2020-10-31,13859.0
2020-11-01,13682.94790468
2020-11-02,13594.0
2020-11-03,14000.0
2020-11-04,14120.0
2020-11-05,15530.0
2020-11-06,15570.0
2020-11-07,14865.0
2020-11-08,15530.07775102
2020-11-09,15329.95580394
2020-11-10,15299.0
2020-11-11,15717.0
2020-11-12,16282.61125881
2020-11-13,16318.0
2020-11-14,16072.0
2020-11-15,15991.072746
2020-11-16,16716.0
2020-11-17,17665.0
2020-11-18,17832.0
2020-11-19,17812.0
2020-11-20,18649.0
2020-11-21,18690.81312868
2020-11-22,18403.0
2020-11-23,18322.071504
2020-11-24,19104.0
2020-11-25,18808.0
2020-11-26,17131.0
2020-11-27,17120.0
2020-11-28,17696.78580432
2020-11-29,18175.0
2020-11-30,19728.2444013
2020-12-01,18904.320512
2020-12-02,19248.596217
2020-12-03,19461.0
2020-12-04,18688.0
2020-12-05,19143.0
2020-12-06,19348.0
2020-12-07,19207.94799
2020-12-08,18340.0
2020-12-09,18561.0
2020-12-10,18295.0
2020-12-11,18102.0
2020-12-12,18808.0
2020-12-13,19180.0
2020-12-14,19283.21121125
2020-12-15,19468.70386284
2020-12-16,21342.0
2020-12-17,22794.0
2020-12-18,23065.0
2020-12-19,23827.0
2020-12-20,23485.674722
2020-12-21,22850.0
2020-12-22,23727.0
2020-12-23,23259.0
2020-12-24,23754.0
2020-12-25,24701.0
2020-12-26,26411.0
2020-12-27,26381.0
2020-12-28,27094.0
2020-12-29,27228.0
2020-12-30,28805.0
2020-12-31,28948.0
2021-01-01,29311.114
2021-01-02,32000.0
2021-01-03,33205.0
2021-01-04,31928.0
2021-01-05,34055.0
2021-01-06,36814.0
2021-01-07,39117.0
2021-01-08,40588.0
2021-01-09,40300.0
2021-01-10,38487.947452
2021-01-11,35460.0
2021-01-12,33909.0
2021-01-13,37199.0
2021-01-14,39141.0
2021-01-15,36800.1894384
2021-01-16,36244.0
2021-01-17,36032.0
2021-01-18,36733.0
2021-01-19,36325.0
2021-01-20,35635.0
2021-01-21,31150.0
2021-01-22,32988.0
2021-01-23,32063.97933315
2021-01-24,32400.0
2021-01-25,32438.0
2021-01-26,32607.221115
2021-01-27,30280.0
2021-01-28,33309.0
2021-01-29,34273.0
2021-01-30,34365.930096
2021-01-31,33147.0
2021-02-01,33548.0
2021-02-02,35705.0
2021-02-03,37473.0
2021-02-04,36902.0
2021-02-05,37921.0
2021-02-06,39245.0
2021-02-07,38990.0
2021-02-08,46118.0
2021-02-09,46572.0
2021-02-10,44947.0
2021-02-11,47794.0
2021-02-12,47467.0
2021-02-13,47100.0
2021-02-14,48782.0
2021-02-15,47931.0
2021-02-16,49192.0
2021-02-17,52109.0
2021-02-18,51599.0
2021-02-19,55699.0
2021-02-20,55800.0
2021-02-21,57357.0
2021-02-22,53923.0
2021-02-23,48429.0
2021-02-24,49725.0
2021-02-25,47147.0
2021-02-26,46143.0
2021-02-27,46083.0
2021-02-28,45109.18815
2021-03-01,49620.0
2021-03-02,48399.0
2021-03-03,50804.0
2021-03-04,48495.03736466
2021-03-05,48888.0
2021-03-06,48896.0
2021-03-08,52283.46065832
2021-03-09,54729.0
2021-03-10,56227.0
2021-03-11,57885.0
2021-03-12,57371.0
2021-03-13,61264.0
2021-03-14,59519.0
2021-03-15,56100.0
2021-03-16,56420.0
2021-03-17,58500.0
2021-03-18,57844.0
2021-03-19,58338.0
2021-03-20,58371.0
2021-03-21,57685.0
2021-03-22,54423.0
2021-03-23,54666.0
2021-03-24,52435.0
2021-03-25,51861.0
2021-03-26,54454.0
2021-03-27,56324.0
2021-03-28,55498.0
2021-03-29,57760.03864647
2021-03-30,58701.0
2021-03-31,58800.0
2021-04-01,58911.0
2021-04-02,58825.0
2021-04-03,57526.0
2021-04-04,58124.0
2021-04-05,58895.0
2021-04-06,57926.0
2021-04-07,56511.0
2021-04-08,57861.0
2021-04-09,58126.0
2021-04-10,59279.0
2021-04-11,60100.0
2021-04-12,60010.0
2021-04-13,63200.0
2021-04-14,62832.0
2021-04-15,63332.0
2021-04-16,61741.0
2021-04-17,60509.0
2021-04-18,56602.25981852
2021-04-19,55924.0
2021-04-20,56301.0
2021-04-21,54198.0
2021-04-22,51531.0
2021-04-23,50652.0
2021-04-24,50838.02848208
2021-04-25,48677.0
2021-04-26,53721.263134
2021-04-27,54937.0
2021-04-28,54557.0
2021-04-29,53334.0
2021-04-30,57076.0
2021-05-01,57564.0
2021-05-02,56285.0
2021-05-03,57230.0
2021-05-04,53955.0
2021-05-05,57397.0
2021-05-06,56426.0
2021-05-07,56960.8923737
2021-05-08,58659.0
2021-05-09,58029.0
2021-05-10,55953.0
2021-05-11,56472.0
2021-05-12,52580.0
2021-05-13,49471.0
2021-05-14,49955.0
2021-05-15,48213.53035729
2021-05-16,45788.38294596
2021-05-17,42930.0
2021-05-18,43159.0
2021-05-19,39511.0
2021-05-20,39954.0
2021-05-21,36795.0
2021-05-22,37677.0
2021-05-23,34015.47186355
2021-05-24,38349.0
2021-05-25,38663.57915565
2021-05-26,38932.39142434
2021-05-27,38642.0
2021-05-28,34956.0
2021-05-29,34411.0
2021-05-30,35766.0
2021-05-31,36996.0
2021-06-01,36299.09930157
2021-06-02,37467.0
2021-06-03,38977.14668646
2021-06-04,37179.0
2021-06-05,35085.0
2021-06-06,35361.27269334
2021-06-07,34124.0
2021-06-08,33438.0
2021-06-09,37077.0
2021-06-10,36736.0
2021-06-11,37450.0
2021-06-12,35622.0
2021-06-13,38818.19015958
2021-06-14,40237.57962233
2021-06-15,40150.0
2021-06-16,38574.98425645
2021-06-17,37839.0
2021-06-18,35473.0
2021-06-19,35680.0
2021-06-20,35712.0
2021-06-21,31695.72768548
2021-06-22,32394.0
2021-06-23,33467.0
2021-06-24,34713.0
2021-06-25,31372.0
2021-06-26,31846.0
2021-06-27,34265.39695127
2021-06-28,34428.48219863
2021-06-29,36142.0
2021-06-30,34888.36800874
2021-07-01,33588.84639428
2021-07-02,33634.0
2021-07-03,34457.59104513
2021-07-04,35370.0
2021-07-05,34026.38274026
2021-07-06,34107.88019104
2021-07-07,34198.0
2021-07-08,32562.0
2021-07-09,33927.95897072
2021-07-10,33529.0
2021-07-11,34406.0
2021-07-12,33036.0
2021-07-13,32456.0
2021-07-14,33034.0
2021-07-15,31767.0
