Date,Price (USD)
1/1/20,41.644
1/2/20,39.6
1/3/20,42.295
1/4/20,42.897
1/5/20,43.24
1/6/20,45.732
1/7/20,46.57
1/8/20,45.35
1/9/20,44.941
1/10/20,48.889
1/11/20,49.48
1/12/20,51.03
1/13/20,49.7
1/14/20,58.416
1/15/20,57.8
1/16/20,57.54
1/17/20,61.445
1/18/20,59.63
1/19/20,57.761
1/20/20,57.138
1/21/20,57.667
1/22/20,58.169
1/23/20,54.2
1/24/20,54.402
1/25/20,53.578
1/26/20,56.077
1/27/20,58.618
1/28/20,60.318
1/29/20,60.154
1/30/20,67.767
1/31/20,67.763
2/1/20,71.139
2/2/20,70.376
2/3/20,69.895
2/4/20,68.217
2/5/20,72.753
2/6/20,73.243
2/7/20,74.147
2/8/20,76.525
2/9/20,76.86
2/10/20,74.306
2/11/20,76.775
2/12/20,80.97
2/13/20,79.991
2/14/20,82.958
2/15/20,75.963
2/16/20,75.86
2/17/20,73.2
2/18/20,77.18
2/19/20,70.865
2/20/20,69.447
2/21/20,73.404
2/22/20,75.044
2/23/20,79.828
2/24/20,75.747
2/25/20,71.147
2/26/20,60.986
2/27/20,61.439
2/28/20,60.393
2/29/20,58.294
3/1/20,57.978
3/2/20,61.35
3/3/20,61.631
3/4/20,60.336
3/5/20,61.946
3/6/20,63.4
3/7/20,60.611
3/8/20,50.823
3/9/20,49.812
3/10/20,50.705
3/11/20,48.752
3/12/20,33.035
3/13/20,36.8
3/14/20,35.129
3/15/20,36.271
3/16/20,32.094
3/17/20,35
3/18/20,34.176
3/19/20,40.4
3/20/20,37.865
3/21/20,38.85
3/22/20,35.689
3/23/20,38.534
3/24/20,40.768
3/25/20,39.057
3/26/20,39.605
3/27/20,39.935
3/28/20,38.83
3/29/20,37.433
3/30/20,39.341
3/31/20,39.26
4/1/20,39.182
4/2/20,40.4
4/3/20,40.578
4/4/20,40.877
4/5/20,40.424
4/6/20,44.606
4/7/20,44.9
4/8/20,46.473
4/9/20,46.699
4/10/20,42.138
4/11/20,42.449
4/12/20,42.556
4/13/20,41.408
4/14/20,41.144
4/15/20,40.235
4/16/20,42.919
4/17/20,42.566
4/18/20,44.399
4/19/20,42.897
4/20/20,40.708
4/21/20,40.864
4/22/20,41.774
4/23/20,43.573
4/24/20,44.203
4/25/20,44.186
4/26/20,44.082
4/27/20,44.371
4/28/20,44.993
4/29/20,48.49
4/30/20,46.787
5/1/20,47.062
5/2/20,49.186
5/3/20,48
5/4/20,46.988
5/5/20,46.492
5/6/20,46.622
5/7/20,47.507
5/8/20,48.298
5/9/20,46.982
5/10/20,42.008
5/11/20,41.298
5/12/20,42.121
5/13/20,43.158
5/14/20,44.208
5/15/20,42.899
5/16/20,43.456
