Date,Last
2020-01-01,41.644
2020-01-02,39.6
2020-01-03,42.295
2020-01-04,42.897
2020-01-05,43.24
2020-01-06,45.732
2020-01-07,46.57
2020-01-08,45.35
2020-01-09,44.941
2020-01-10,48.889
2020-01-11,49.48
2020-01-12,51.03
2020-01-13,49.7
2020-01-14,58.416
2020-01-15,57.8
2020-01-16,57.54
2020-01-17,61.445
2020-01-18,59.63
2020-01-19,57.761
2020-01-20,57.138
2020-01-21,57.667
2020-01-22,58.169
2020-01-23,54.2
2020-01-24,54.402
2020-01-25,53.578
2020-01-26,56.077
2020-01-27,58.618
2020-01-28,60.318
2020-01-29,60.154
2020-01-30,67.767
2020-01-31,67.763
2020-02-01,71.139
2020-02-02,70.376
2020-02-03,69.895
2020-02-04,68.217
2020-02-05,72.753
2020-02-06,73.243
2020-02-07,74.147
2020-02-08,76.525
2020-02-09,76.86
2020-02-10,74.306
2020-02-11,76.775
2020-02-12,80.97
2020-02-13,79.991
2020-02-14,82.958
2020-02-15,75.963
2020-02-16,75.86
2020-02-17,73.2
2020-02-18,77.18
2020-02-19,70.865
2020-02-20,69.447
2020-02-21,73.404
2020-02-22,75.044
2020-02-23,79.828
2020-02-24,75.747
2020-02-25,71.147
2020-02-26,60.986
2020-02-27,61.439
2020-02-28,60.393
2020-02-29,58.294
2020-03-01,57.978
2020-03-02,61.35
2020-03-03,61.631
2020-03-04,60.336
2020-03-05,61.946
2020-03-06,63.4
2020-03-07,60.611
2020-03-08,50.823
2020-03-09,49.812
2020-03-10,50.705
2020-03-11,48.752
2020-03-12,33.035
2020-03-13,36.8
2020-03-14,35.129
2020-03-15,36.271
2020-03-16,32.094
2020-03-17,35.0
2020-03-18,34.176
2020-03-19,40.4
2020-03-20,37.865
2020-03-21,38.85
2020-03-22,35.689
2020-03-23,38.534
2020-03-24,40.768
2020-03-25,39.057
2020-03-26,39.605
2020-03-27,39.935
2020-03-28,38.83
2020-03-29,37.433
2020-03-30,39.341
2020-03-31,39.26
2020-04-01,39.182
2020-04-02,40.4
2020-04-03,40.578
2020-04-04,40.877
2020-04-05,40.424
2020-04-06,44.606
2020-04-07,44.9
2020-04-08,46.473
2020-04-09,46.699
2020-04-10,42.138
2020-04-11,42.449
2020-04-12,42.556
2020-04-13,41.408
2020-04-14,41.144
2020-04-15,40.235
2020-04-16,42.919
2020-04-17,42.566
2020-04-18,44.399
2020-04-19,42.897
2020-04-20,40.708
2020-04-21,40.864
2020-04-22,41.774
2020-04-23,43.573
2020-04-24,44.203
2020-04-25,44.186
2020-04-26,44.082
2020-04-27,44.371
2020-04-28,44.993
2020-04-29,48.49
2020-04-30,46.787
2020-05-01,47.062
2020-05-02,49.186
2020-05-03,48.0
2020-05-04,46.988
2020-05-05,46.492
2020-05-06,46.622
2020-05-07,47.507
2020-05-08,48.298
2020-05-09,46.982
2020-05-10,42.008
2020-05-11,41.298
2020-05-12,42.121
2020-05-13,43.158
2020-05-14,44.208
2020-05-15,42.899
2020-05-16,43.456
2020-05-17,43.765
2020-05-18,45.298
2020-05-19,45.473
2020-05-20,44.062
2020-05-21,43.0
2020-05-22,44.393
2020-05-23,44.115
2020-05-24,43.021
2020-05-25,42.877
2020-05-26,42.406
2020-05-27,43.509
2020-05-28,44.331
2020-05-29,44.476
2020-05-30,47.593
2020-05-31,45.848
2020-06-01,47.31
2020-06-02,46.148
2020-06-03,47.011
2020-06-04,47.51
2020-06-05,46.987
2020-06-06,46.696
2020-06-07,46.697
2020-06-08,46.048
2020-06-09,45.913
2020-06-10,46.69
2020-06-11,43.52
2020-06-12,44.686
2020-06-13,44.894
2020-06-14,44.156
2020-06-15,43.736
2020-06-16,43.852
2020-06-17,44.008
2020-06-18,43.454
2020-06-19,43.193
2020-06-20,43.806
2020-06-21,42.959
2020-06-22,44.385
2020-06-23,44.127
2020-06-24,42.695
2020-06-25,42.312
2020-06-26,43.144
2020-06-27,41.231
2020-06-28,41.358
2020-06-29,42.04
2020-06-30,41.209
2020-07-01,41.808
2020-07-02,40.965
2020-07-03,41.238
2020-07-04,42.023
2020-07-05,41.676
2020-07-06,43.801
2020-07-07,43.333
2020-07-08,45.509
2020-07-09,44.415
2020-07-10,44.255
2020-07-11,44.411
2020-07-12,44.68
2020-07-13,44.071
2020-07-14,43.753
2020-07-15,43.407
2020-07-16,42.088
2020-07-17,41.956
2020-07-18,42.54
2020-07-19,42.689
2020-07-20,41.976
2020-07-21,43.619
2020-07-22,44.84
2020-07-23,45.1
2020-07-24,44.403
2020-07-25,49.252
2020-07-26,48.342
2020-07-27,55.16
2020-07-28,55.679
2020-07-29,55.961
2020-07-30,57.665
2020-07-31,58.051
2020-08-01,61.515
2020-08-02,56.934
2020-08-03,58.17
2020-08-04,57.722
2020-08-05,58.469
2020-08-06,59.103
2020-08-07,57.421
2020-08-08,57.838
2020-08-09,56.722
2020-08-10,58.2
2020-08-11,53.857
2020-08-13,57.143
2020-08-14,56.91
2020-08-15,60.261
2020-08-16,62.23
2020-08-17,68.024
2020-08-18,66.457
2020-08-19,61.809
2020-08-20,62.412
2020-08-21,59.643
2020-08-22,60.299
2020-08-23,60.572
2020-08-24,62.21
2020-08-25,58.498
2020-08-26,58.213
2020-08-27,55.567
2020-08-28,56.69
2020-08-29,57.34
2020-08-30,62.021
2020-08-31,61.2
2020-09-01,63.347
2020-09-02,58.417
2020-09-03,52.679
2020-09-04,51.106
2020-09-05,46.753
2020-09-06,47.777
2020-09-07,48.729
2020-09-08,47.42
2020-09-09,48.258
2020-09-10,48.618
2020-09-11,49.032
2020-09-12,50.947
2020-09-13,47.962
2020-09-14,48.721
2020-09-15,48.641
2020-09-16,48.426
2020-09-17,48.968
2020-09-18,48.397
2020-09-19,48.474
2020-09-20,46.786
2020-09-21,43.678
2020-09-22,44.352
2020-09-23,43.109
2020-09-24,44.93
2020-09-25,46.271
2020-09-26,46.083
2020-09-27,46.066
2020-09-28,46.201
2020-09-29,45.528
2020-09-30,46.122
2020-10-01,46.148
2020-10-02,44.919
2020-10-03,45.776
2020-10-04,46.641
2020-10-05,46.193
2020-10-06,45.794
2020-10-07,46.526
2020-10-08,47.26
2020-10-09,47.994
2020-10-10,49.34
2020-10-11,50.54
2020-10-12,51.375
2020-10-13,50.036
2020-10-14,49.696
2020-10-15,49.464
2020-10-16,47.79
2020-10-17,46.788
2020-10-18,47.61
2020-10-19,48.2
2020-10-20,47.005
2020-10-21,54.708
2020-10-22,54.891
2020-10-23,55.352
2020-10-24,58.888
2020-10-25,58.486
2020-10-26,56.709
2020-10-27,57.87
2020-10-28,55.657
2020-10-29,54.554
2020-10-30,53.98
2020-10-31,55.919
2020-11-01,55.47
2020-11-02,53.927
2020-11-03,53.974
2020-11-04,54.63
2020-11-05,58.81
2020-11-06,63.082
2020-11-07,58.902
2020-11-08,61.15
2020-11-09,59.177
2020-11-10,57.933
2020-11-11,59.325
2020-11-12,60.18
2020-11-13,65.391
2020-11-14,64.056
2020-11-15,62.307
2020-11-16,73.7
2020-11-17,76.318
2020-11-18,73.703
2020-11-19,81.314
2020-11-20,82.665
2020-11-21,87.068
2020-11-22,83.015
2020-11-23,88.45
2020-11-24,88.932
2020-11-25,82.54
2020-11-26,70.812
2020-11-27,69.074
2020-11-28,72.408
2020-11-29,79.383
2020-11-30,87.888
2020-12-01,85.676
2020-12-02,89.241
2020-12-03,88.998
2020-12-04,79.784
2020-12-05,82.861
2020-12-06,83.475
2020-12-07,83.89
2020-12-08,76.891
2020-12-09,77.487
2020-12-10,75.08
2020-12-11,72.181
2020-12-12,76.755
2020-12-13,82.36
2020-12-14,82.48
2020-12-15,81.525
2020-12-16,92.442
2020-12-17,101.76
2020-12-18,108.66
2020-12-19,120.29
2020-12-20,114.96
2020-12-21,104.89
2020-12-22,113.52
2020-12-23,103.27
2020-12-24,111.52
2020-12-25,128.11
2020-12-26,129.49
2020-12-27,128.54
2020-12-28,130.5
2020-12-29,129.15
2020-12-30,129.06
2020-12-31,124.58
2021-01-01,125.88
2021-01-02,137.15
2021-01-03,161.71
2021-01-04,154.85
2021-01-05,158.8
2021-01-06,168.77
2021-01-07,167.99
2021-01-08,172.28
2021-01-09,178.0
2021-01-10,171.47
2021-01-11,139.0
2021-01-12,132.99
2021-01-13,146.29
2021-01-14,152.02
2021-01-15,144.17
2021-01-16,144.34
2021-01-17,143.21
2021-01-18,152.2
2021-01-19,155.42
2021-01-20,149.93
2021-01-21,132.07
2021-01-22,137.94
2021-01-23,137.62
2021-01-24,141.99
2021-01-25,137.65
2021-01-26,134.98
2021-01-27,122.3
2021-01-28,133.05
2021-01-29,135.35
2021-01-30,133.95
2021-01-31,130.06
2021-02-01,132.73
2021-02-02,143.4
2021-02-03,155.14
2021-02-04,145.31
2021-02-05,154.46
2021-02-06,155.73
2021-02-07,151.33
2021-02-08,167.63
2021-02-09,183.22
2021-02-10,182.3
2021-02-11,184.98
2021-02-12,197.08
2021-02-13,227.68
2021-02-14,215.82
2021-02-15,206.57
2021-02-16,210.05
2021-02-17,235.86
2021-02-18,227.3
2021-02-19,236.79
2021-02-20,225.45
2021-02-21,227.03
2021-02-22,207.25
2021-02-23,174.51
2021-02-24,181.02
2021-02-25,180.7
2021-02-26,169.72
2021-02-27,172.25
2021-02-28,165.09
2021-03-01,175.97
2021-03-02,177.69
2021-03-03,190.21
2021-03-04,180.98
2021-03-05,180.35
2021-03-06,182.83
2021-03-08,192.12
2021-03-09,203.69
2021-03-10,200.98
2021-03-11,201.4
2021-03-12,220.57
2021-03-13,226.69
2021-03-14,217.44
2021-03-15,200.26
2021-03-16,200.51
2021-03-17,204.19
2021-03-18,200.36
2021-03-19,200.82
2021-03-20,201.47
2021-03-21,196.65
2021-03-22,186.78
2021-03-23,185.45
2021-03-24,176.8
2021-03-25,172.45
2021-03-26,182.3
2021-03-27,185.2
2021-03-28,183.1
2021-03-29,194.71
2021-03-30,194.49
2021-03-31,195.32
2021-04-01,201.88
2021-04-02,207.22
2021-04-03,199.38
2021-04-04,201.51
2021-04-05,221.41
2021-04-06,238.65
2021-04-07,223.71
2021-04-08,226.24
2021-04-09,222.48
2021-04-10,245.77
2021-04-11,249.49
2021-04-12,246.64
2021-04-13,263.47
2021-04-14,275.9
2021-04-15,287.13
2021-04-16,308.51
2021-04-17,311.28
2021-04-18,275.61
2021-04-19,266.02
2021-04-20,262.02
2021-04-21,258.85
2021-04-22,252.27
2021-04-23,235.99
2021-04-24,230.24
2021-04-25,219.09
2021-04-26,243.12
2021-04-27,258.03
2021-04-28,257.44
2021-04-29,254.01
2021-04-30,269.97
2021-05-01,272.73
2021-05-02,267.4
2021-05-03,294.01
2021-05-04,306.5
2021-05-05,354.44
2021-05-06,342.26
2021-05-07,334.48
2021-05-08,348.84
2021-05-09,384.28
2021-05-10,370.12
2021-05-11,371.26
2021-05-12,343.3
2021-05-13,309.7
2021-05-14,325.93
2021-05-15,309.23
2021-05-16,291.46
2021-05-17,274.76
2021-05-18,298.58
2021-05-19,207.83
2021-05-20,206.72
2021-05-21,175.85
2021-05-22,172.75
2021-05-23,141.93
2021-05-24,176.74
2021-05-25,182.08
2021-05-26,194.34
2021-05-27,194.44
2021-05-28,173.24
2021-05-29,161.88
2021-05-30,171.73
2021-05-31,184.69
2021-06-01,180.92
2021-06-02,185.91
2021-06-03,191.86
2021-06-04,180.84
2021-06-05,170.52
2021-06-06,173.5
2021-06-07,165.23
2021-06-08,160.17
2021-06-09,171.29
2021-06-10,168.2
2021-06-11,163.46
2021-06-12,162.54
2021-06-13,170.84
2021-06-14,175.65
2021-06-15,175.41
2021-06-16,166.87
2021-06-17,165.24
2021-06-18,155.15
2021-06-19,154.14
2021-06-20,155.74
2021-06-21,126.15
2021-06-22,118.96
2021-06-23,127.17
2021-06-24,134.01
2021-06-25,125.0
2021-06-26,124.38
2021-06-27,131.12
2021-06-28,137.51
2021-06-29,145.48
2021-06-30,143.61
2021-07-01,138.46
2021-07-02,135.63
2021-07-03,138.63
2021-07-04,144.96
2021-07-05,139.53
2021-07-06,138.39
2021-07-07,138.43
2021-07-08,130.07
2021-07-09,134.87
2021-07-10,133.38
2021-07-11,134.65
2021-07-12,133.41
2021-07-13,130.1
2021-07-14,131.96
2021-07-15,125.41
2021-07-16,122.61
2021-07-17,120.57
2021-07-18,118.22
2021-07-19,113.91
2021-07-20,106.95
2021-07-21,117.4
2021-07-22,120.19
2021-07-23,122.24
2021-07-24,124.62
2021-07-25,125.07
2021-07-26,132.32
2021-07-27,135.13
2021-07-28,139.12
2021-07-29,140.75
2021-07-30,144.56
2021-07-31,145.36
2021-08-01,143.1
2021-08-02,141.37
2021-08-03,139.27
2021-08-04,142.93
2021-08-05,144.12
2021-08-06,147.83
2021-08-07,154.54
2021-08-08,151.23
2021-08-09,167.5
2021-08-10,165.83
2021-08-11,169.86
2021-08-12,162.58
2021-08-13,181.09
2021-08-14,180.36
2021-08-15,185.39
2021-08-16,180.85
2021-08-17,171.11
2021-08-18,167.48
2021-08-19,173.98
2021-08-20,181.85
2021-08-21,181.79
2021-08-22,182.95
2021-08-23,187.0
2021-08-24,176.6
2021-08-25,177.0
2021-08-26,170.46
2021-08-27,174.86
2021-08-28,175.15
2021-08-29,175.82
2021-08-30,171.94
2021-08-31,170.3
2021-09-01,180.66
2021-09-02,186.37
2021-09-03,207.79
2021-09-04,213.25
2021-09-05,225.87
2021-09-06,220.54
2021-09-07,178.16
2021-09-08,182.72
2021-09-09,180.94
2021-09-10,173.9
2021-09-11,178.53
2021-09-12,182.17
2021-09-13,180.96
2021-09-14,183.43
2021-09-15,188.35
2021-09-16,184.42
2021-09-17,179.49
2021-09-18,180.6
2021-09-19,174.18
2021-09-20,159.04
2021-09-21,148.98
2021-09-22,161.01
2021-09-23,163.36
2021-09-24,151.7
2021-09-25,152.21
2021-09-26,151.92
2021-09-27,148.89
2021-09-28,142.59
2021-09-29,144.12
2021-09-30,152.93
